game_id,player_id,cluster
199577915,18566590,3
199580460,2806642,3
199580460,11220071,3
199586885,7614140,4
199586885,11220071,4
199587718,8130680,4
199587718,9303779,3
199690756,769187,4
199690756,6000037,1
199694172,6000037,0
199694172,8948067,3
199696895,6000037,3
199696895,20060547,3
199699655,6000037,3
199699655,20985555,3
199704300,6000037,4
199704300,22082228,3
199794228,21220978,3
199794228,21546653,0
199797020,9635414,3
199797020,21220978,3
199809822,17975584,3
199809822,18566590,2
199810934,11018483,2
199810934,18566590,3
199827580,3388442,4
199827580,18566590,3
199831732,17057316,3
199831732,18566590,3
199840323,21732333,3
199840323,23488978,4
199842054,898725,3
199842054,8130680,3
199843661,18555980,3
199843661,23488978,3
199851120,11018483,3
199851120,23488978,3
199856550,8130680,3
199856550,23876739,2
199857605,15941496,1
199857605,23488978,3
199861512,15941496,3
199861512,23488978,0
199863015,8315759,0
199863015,18566590,0
199866625,15941496,4
199866625,18566590,3
199866966,16818159,3
199866966,23488978,3
199870172,15941496,3
199870172,18566590,0
199870878,16794502,3
199870878,23488978,4
199874295,10561449,3
199874295,23488978,3
199879351,634029,3
199879351,23488978,3
199880857,10367333,4
199880857,18566590,3
199917994,21070723,4
199917994,23909426,3
199954813,11280999,3
199954813,18566590,3
199955979,773023,3
199955979,18566590,3
200002937,9536175,2
200002937,23909426,3
200009048,11006172,3
200009048,18566590,3
200028586,8442107,3
200028586,9298419,3
200030936,8442107,0
200030936,9298419,0
200042511,8442107,0
200042511,9469627,3
200045816,8442107,3
200045816,9469627,3
200047802,8442107,3
200047802,9469627,3
200049374,8442107,4
200049374,9469627,3
200056346,16818159,4
200056346,23909426,4
200057275,16818159,4
200057275,23909426,3
200058887,8304908,2
200058887,23909426,3
200062511,8304908,4
200062511,23909426,4
200063695,8304908,2
200063695,23909426,3
200068838,1630183,4
200068838,23909426,3
200108035,7090370,3
200108035,8324702,4
200110834,1537016,3
200110834,7090370,3
200114169,6961598,2
200114169,7090370,3
200119108,656959,3
200119108,7090370,3
200141289,1270139,4
200141289,23909426,4
200142977,656959,3
200142977,18566590,3
200148761,4563532,2
200148761,18566590,3
200155260,10367333,4
200155260,15218890,3
200313466,6776758,3
200313466,8442107,3
200315737,8442107,3
200315737,15941496,3
200318089,8442107,3
200318089,15941496,3
200322348,8442107,3
200322348,9194260,0
200324223,8442107,3
200324223,9194260,3
200326932,8442107,0
200326932,18895650,0
200328173,3553830,3
200328173,8442107,2
200330581,8442107,0
200330581,16794502,0
200465743,9385566,3
200465743,18616127,3
200523927,11125131,2
200523927,22067622,4
200526074,1036727,3
200526074,11125131,2
200529068,2806642,0
200529068,10912944,3
200530250,2806642,3
200530250,10912944,3
200534028,2806642,3
200534028,10912944,3
200643747,235178,4
200643747,11220071,4
200688520,3882021,4
200688520,8304908,4
200690581,3882021,4
200690581,20590400,4
200691985,2806642,4
200691985,3882021,4
200729993,10364987,2
200729993,17669489,2
200732944,10129543,3
200732944,17669489,2
200750402,6000037,3
200750402,15131510,3
200751141,3553830,3
200751141,17669489,2
200754221,6000037,4
200754221,21934049,3
200758244,6000037,3
200758244,9676327,3
200768074,6000037,3
200768074,9194260,2
200771368,230361,3
200771368,8442107,3
200772294,6000037,3
200772294,21934049,4
200783215,6776758,2
200783215,17669489,2
200841079,3687333,3
200841079,22124138,3
200847264,18916458,4
200847264,20319908,0
200848474,16794502,3
200848474,20319908,4
200849288,8354416,4
200849288,20319908,4
200850923,6386430,0
200850923,20319908,4
200852101,16794502,3
200852101,20319908,4
200886447,2806642,0
200886447,6000037,3
200888855,515937,4
200888855,6000037,4
200893797,2806642,4
200893797,6000037,4
200896992,6000037,4
200896992,16421070,4
200929784,2942077,4
200929784,12096092,4
200937481,9194260,0
200937481,21070723,3
200939495,9194260,0
200939495,22831107,3
200964238,11604516,1
200964238,22124138,3
201004589,6000037,4
201004589,9926116,4
201008592,6000037,4
201008592,8840075,1
201010907,6000037,3
201010907,8840075,4
201017863,6000037,4
201017863,18700956,4
201019435,6463443,4
201019435,17669489,4
201020504,6000037,4
201020504,7450111,4
201023326,1270139,3
201023326,17669489,2
201023533,6000037,4
201023533,8840075,4
201028070,8840075,0
201028070,17669489,0
201039423,17669489,2
201039423,23355273,2
201055546,7008236,3
201055546,21732333,2
201056068,17669489,2
201056068,23820730,3
201057524,6914972,3
201057524,21732333,3
201058336,5409008,3
201058336,17669489,0
201062498,8314643,3
201062498,9194260,2
201065104,8304908,3
201065104,9194260,4
201066853,9194260,0
201066853,10090733,0
201068170,9194260,3
201068170,22287528,3
201107496,11018483,2
201107496,17669489,2
201109702,7090370,3
201109702,7488034,3
201111969,1408680,2
201111969,7090370,3
201119894,7090370,0
201119894,14611083,3
201122414,7090370,3
201122414,14611083,0
201141382,8315759,3
201141382,17669489,2
201142128,6994017,3
201142128,18985075,0
201147213,17669489,2
201147213,20060547,2
201152725,1037542,3
201152725,15941496,4
201156001,15941496,3
201156001,21818574,0
201159151,15941496,3
201159151,21818574,2
201164901,4634973,4
201164901,15941496,4
201168067,15941496,3
201168067,17669489,4
201171220,230361,3
201171220,15941496,4
201183231,520130,3
201183231,9194260,0
201186006,9194260,3
201186006,22969958,3
201188743,9194260,3
201188743,10334593,3
201190967,9194260,4
201190967,20658327,3
201192918,3637474,0
201192918,9194260,3
201219252,11434144,4
201219252,22124138,4
201245516,4472499,3
201245516,8586983,3
201265900,769187,3
201265900,22124138,3
201284887,6000037,3
201284887,9469627,3
201287325,6000037,4
201287325,9469627,4
201292770,9469627,3
201292770,15941496,0
201336687,3553830,3
201336687,9194260,3
201337574,3553830,3
201337574,9194260,3
201341570,8304908,3
201341570,9194260,3
201374387,10912944,3
201374387,11018483,3
201378240,2806642,3
201378240,10912944,3
201382482,7860065,0
201382482,10912944,3
201385276,1712108,3
201385276,10912944,3
201402885,9569223,3
201402885,23997915,3
201404982,6640305,3
201404982,23997915,3
201425189,15941496,3
201425189,20060547,3
201430047,4205816,3
201430047,15941496,3
201434910,15941496,3
201434910,19473260,3
201438562,3671968,4
201438562,15941496,4
201440609,23740896,1
201440609,23997915,3
201442571,8183755,4
201442571,15941496,4
201447388,11040949,3
201447388,23997915,3
201449808,7191258,3
201449808,23997915,3
201470710,520130,0
201470710,9194260,3
201475473,3587408,1
201475473,20656660,3
201487379,520130,0
201487379,19536896,3
201520050,1036727,0
201520050,23997915,3
201523907,1036727,4
201523907,23997915,3
201526330,11519068,2
201526330,23997915,3
201528373,15591987,3
201528373,23997915,3
201532599,22873727,4
201532599,23997915,4
201539421,16421070,4
201539421,23997915,3
201542461,2806642,3
201542461,8354416,4
201543654,10912944,3
201543654,18916458,4
201544908,2806642,3
201544908,8354416,4
201547160,8354416,4
201547160,20060547,2
201547424,8163321,3
201547424,10912944,3
201552021,10912944,3
201552021,18721685,4
201554906,10912944,3
201554906,18526764,3
201556442,10912944,3
201556442,20938518,0
201558356,20938518,2
201558356,23997915,3
201561728,2806642,3
201561728,8163321,3
201562305,12312409,3
201562305,23997915,3
201563977,6582922,2
201563977,23997915,3
201567260,2806642,3
201567260,23488978,4
201568438,20666120,3
201568438,23997915,3
201572262,10559812,3
201572262,23488978,3
201573871,16554192,3
201573871,23997915,3
201575174,9194260,0
201575174,20938518,3
201576834,20319908,3
201576834,23488978,3
201577551,9194260,0
201577551,20938518,3
201580168,9194260,4
201580168,15941496,4
201580346,1650007,0
201580346,23488978,3
201581041,20060547,1
201581041,23997915,3
201582227,6757911,4
201582227,15941496,0
201582953,7614140,3
201582953,22273741,3
201585268,7614140,4
201585268,23488978,3
201587282,8840075,0
201587282,15941496,3
201588121,2806642,3
201588121,6943917,2
201592481,20060547,2
201592481,23488978,4
201593803,8840075,2
201593803,15941496,3
201597669,15941496,4
201597669,18186449,3
201599599,3647289,3
201599599,23488978,3
201602940,1123680,3
201602940,15941496,4
201605308,18916458,4
201605308,23488978,3
201609413,19745549,0
201609413,23488978,0
201611247,9926116,0
201611247,15941496,3
201624492,8354416,3
201624492,11040949,0
201635062,4703134,3
201635062,23997915,3
201637008,21170971,4
201637008,21220978,3
201637863,21237057,0
201637863,23997915,3
201642815,6776758,3
201642815,21220978,0
201645553,6776758,4
201645553,21220978,3
201680565,21070723,0
201685270,769187,3
201685270,3775474,3
201686238,769187,3
201686238,21592290,3
201719031,7445226,3
201719031,8586983,2
201723767,8586983,3
201723767,21818574,2
201725370,8586983,2
201725370,21818574,2
201735958,17669489,2
201735958,18186449,3
201743152,17669489,2
201743152,21818574,2
201750754,7097404,3
201750754,21070723,4
201753830,6531537,3
201753830,21070723,4
201761967,2606764,2
201761967,23538102,3
201762533,769187,0
201762533,1360035,3
201764501,769187,3
201764501,16794502,3
201766207,1270139,3
201766207,21070723,4
201768133,1270139,3
201768133,2606764,2
201772680,1270139,3
201772680,21070723,3
201778173,1270139,4
201778173,21220978,0
201783807,10999320,3
201783807,22445437,3
201783963,1123680,3
